number;id;xscale;yscale;xcenter;ycenter
43;4c76c6cf13eb7b9956a657e8f737021d;0.9999471902847290,1.0000542402267456,1.0000313520431519,1.0000995397567749,1.0000103712081909,1.0000559091567993,1.0001558065414429,1.0001409053802490;0.0860695838928223,0.1142029166221619,0.1652190238237381,0.2360342442989349,0.3229216337203979,0.4149877727031708,0.4972501397132874,0.5514644384384155;-0.0000000366274087,0.0000000212312088,0.0000000291974480,-0.0000001360496356,0.0000002064141142,-0.0000001408906343,-0.0000000482106586,0.0000000114453336;0.9144472479820251,0.8860403299331665,0.8338497281074524,0.7613474726676941,0.6744229793548584,0.5830163955688477,0.5020819306373596,0.4493615031242371
44;0333c0a570ca9f1991e19402f3694915;0.8967537283897400,0.8965564966201782,0.8964681625366211,0.8965476751327515,0.8963462114334106,0.8964371085166931,0.8964603543281555,0.8966505527496338;0.0211499631404877,0.1044035851955414,0.2303242236375809,0.3701394796371460,0.4999591112136841,0.6063226461410522,0.6814978122711182,0.7227386236190796;0.1003127172589302,0.1004062294960022,0.1007007956504822,0.1007174625992775,0.1007488146424294,0.1009406447410583,0.1012058556079865,0.1015010923147202;0.9782705903053284,0.8952373862266541,0.7688773870468140,0.6296032667160034,0.5004264712333679,0.3951906561851501,0.3199752271175385,0.2775825560092926
45;c9c7dd96d96975131667adc5f0bd2d26;0.9998429417610168,0.9998500347137451,0.9997625350952148,0.9998333454132080,0.9998390674591064,0.9998522400856018,0.9998108148574829,0.9997500181198120;0.7499091625213623,0.7240374684333801,0.6770949959754944,0.6084232330322266,0.5214515924453735,0.4245560765266418,0.3347834050655365,0.2725887894630432;-0.0000000366274087,0.0000000212312088,0.0000000291974480,-0.0000001360496356,0.0000002064141142,-0.0000001408906343,-0.0000000482106586,0.0000000114453336;-0.2508368194103241,-0.2765685021877289,-0.3238889276981354,-0.3924289047718048,-0.4789318144321442,-0.5746299028396606,-0.6644445657730103,-0.7295418977737427
46;b50137aa85ff9cebed4f27b82f3a07d3;1.0002167224884033,1.0001618862152100,1.0000233650207520,0.9999120235443115,0.9999897480010986,1.0000591278076172,1.0001662969589233,1.0002075433731079;0.2504347264766693,0.2757028043270111,0.3225384354591370,0.3910910785198212,0.4776242375373840,0.5740703344345093,0.6644597053527832,0.7258356809616089;-0.0000000366274087,0.0000000212312088,0.0000000291974480,-0.0000001360496356,0.0000002064141142,-0.0000001408906343,-0.0000000482106586,0.0000000114453336;0.7515695095062256,0.7254107594490051,0.6782544851303101,0.6089940071105957,0.5211160182952881,0.4235128164291382,0.3333586156368256,0.2725683450698853
47;3124aa9874a34a85e02806c753e10197;0.4851229786872864,0.4625308811664581,0.4198755621910095,0.3574154376983643,0.2754472196102142,0.1796755641698837,0.0852794647216797,0.0175858736038208;0.5453147888183594,0.5455352067947388,0.5453442335128784,0.5453240871429443,0.5453794002532959,0.5457404851913452,0.5458418130874634,0.5460101366043091;-0.5159299969673157,-0.5388076305389404,-0.5811045765876770,-0.6435428857803345,-0.7254416942596436,-0.8207435607910156,-0.9145854711532593,-0.9820296168327332;-0.4552069306373596,-0.4549659490585327,-0.4547644555568695,-0.4546421766281128,-0.4547170102596283,-0.4547575116157532,-0.4547911882400513,-0.4546923935413361
48;4515cd68e1685a674cb064a9c0db25be;0.0054649114608765,0.0296356976032257,0.0644386708736420,0.1050986945629120,0.1455774605274200,0.1803604662418365,0.2061651945114136,0.2197321802377701;0.3430503010749817,0.3438280224800110,0.3434413969516754,0.3426623046398163,0.3424214124679565,0.3424131870269775,0.3431607484817505,0.3427557945251465;0.9937587380409241,0.9709522128105164,0.9350020289421082,0.8932104706764221,0.8529480099678040,0.8191938400268555,0.7947567701339722,0.7807019352912903;0.6573426723480225,0.6574730277061462,0.6573889851570129,0.6574240922927856,0.6574251651763916,0.6573934555053711,0.6573292613029480,0.6571655869483948
49;c4bdbafa0bd0537d5545063ddc66fce6;0.9999828338623047,0.9998806715011597,0.9997988939285278,0.9999978542327881,1.0000951290130615,1.0002341270446777,1.0001018047332764,1.0000753402709961;0.9210971593856812,0.8927841186523438,0.8443533182144165,0.7807910442352295,0.7088509798049927,0.6380046010017395,0.5782899856567383,0.5415762066841125;-0.0000000366274087,0.0000000212312088,0.0000000291974480,-0.0000001360496356,0.0000002064141142,-0.0000001408906343,-0.0000000482106586,0.0000000114453336;-0.0761866346001625,-0.1052477732300758,-0.1550892293453217,-0.2192079573869705,-0.2900623679161072,-0.3590534031391144,-0.4166014790534973,-0.4535739719867706
50;f3b0a2f77790ea4243ffc97965eb7886;0.9999905228614807,0.9998872280120850,0.9999766349792480,0.9999821186065674,0.9999825954437256,0.9999237656593323,0.9999944567680359,0.9999269247055054;0.0756382346153259,0.1041617393493652,0.1536075174808502,0.2183867394924164,0.2937024533748627,0.3672040402889252,0.4273983836174011,0.4642161428928375;-0.0000000366274087,0.0000000212312088,0.0000000291974480,-0.0000001360496356,0.0000002064141142,-0.0000001408906343,-0.0000000482106586,0.0000000114453336;0.9226158261299133,0.8956179022789001,0.8463329076766968,0.7806507349014282,0.7066143155097961,0.6344456076622009,0.5750069618225098,0.5385784506797791
51;731f86245b060eb2f33a6d1ab288df7c;0.4058715999126434,0.4053365290164948,0.4038303196430206,0.4031804203987122,0.4033663272857666,0.4035271406173706,0.4038090109825134,0.4041834771633148;0.0078475475311279,0.0412118434906006,0.0917207598686218,0.1498459875583649,0.2047324776649475,0.2501375079154968,0.2840670049190521,0.3011773526668549;0.5947591662406921,0.5948006510734558,0.5947058796882629,0.5950956344604492,0.5954487323760986,0.5954981446266174,0.5951686501502991,0.5949048399925232;0.9911547899246216,0.9573004841804504,0.9060978889465332,0.8482967019081116,0.7934517860412598,0.7480423450469971,0.7152159810066223,0.6965603828430176
52;17bc027a657a24adc2720d3b5060bcb0;1.0000936985015869,1.0000784397125244,1.0000692605972290,0.9999850988388062,0.9999240636825562,0.9999300837516785,0.9999493956565857,1.0000139474868774;0.6033021211624146,0.5904063582420349,0.5687777400016785,0.5413058996200562,0.5113209486007690,0.4827701449394226,0.4591763615608215,0.4447052478790283;-0.0000000366274087,0.0000000212312088,0.0000000291974480,-0.0000001360496356,0.0000002064141142,-0.0000001408906343,-0.0000000482106586,0.0000000114453336;-0.3971809446811676,-0.4099875688552856,-0.4318693578243256,-0.4599778056144714,-0.4906246066093445,-0.5191412568092346,-0.5416083335876465,-0.5552710294723511
53;bc41a9d7ae8c93334716330a896fc71d;0.9999272823333740,0.9999065399169922,0.9999787807464600,0.9999397993087769,0.9999270439147949,0.9999464154243469,0.9999478459358215,0.9999458789825439;0.3947238028049469,0.4069288372993469,0.4285332560539246,0.4569482803344727,0.4879268407821655,0.5171362757682800,0.5406721830368042,0.5552588701248169;-0.0000000366274087,0.0000000212312088,0.0000000291974480,-0.0000001360496356,0.0000002064141142,-0.0000001408906343,-0.0000000482106586,0.0000000114453336;0.6042355298995972,0.5928416848182678,0.5723066329956055,0.5442015528678894,0.5125507712364197,0.4821523725986481,0.4577296972274780,0.4427185356616974
54;0ff3b68ec2ae3ac476c09c32bda6ba35;0.8131805658340454,0.7593587636947632,0.6803742647171021,0.5947564840316772,0.5165331363677979,0.4534032046794891,0.4093168675899506,0.3847331702709198;1.0000424385070801,1.0000194311141968,1.0000097751617432,1.0000214576721191,1.0000404119491577,0.9999506473541260,0.9999377727508545,0.9998022317886353;-0.1843154281377792,-0.2379133552312851,-0.3167426288127899,-0.4028002023696899,-0.4821345210075378,-0.5457801818847656,-0.5896177887916565,-0.6144508719444275;0.0000000042419082,-0.0000002874992902,-0.0000003388381629,0.0000000763622907,0.0000001225388360,-0.0000003335705969,-0.0000000863080203,-0.0000000407337382
55;88c05c1d492fb317bf8a2e1984f14cf7;0.1875497549772263,0.2407481968402863,0.3195967376232147,0.4056913256645203,0.4844480454921722,0.5480083823204041,0.5927931666374207,0.6175680756568909;1.0000542402267456,1.0001027584075928,1.0000543594360352,1.0000102519989014,1.0000239610671997,0.9999623298645020,1.0000053644180298,1.0000178813934326;0.8125168085098267,0.7601211071014404,0.6807989478111267,0.5941691994667053,0.5147531032562256,0.4511068165302277,0.4069177210330963,0.3825374245643616;0.0000000042419082,-0.0000002874992902,-0.0000003388381629,0.0000000763622907,0.0000001225388360,-0.0000003335705969,-0.0000000863080203,-0.0000000407337382
56;ddd48a2a79924b6986956ac59bdee1ad;0.4636392593383789,0.4433685541152954,0.4067077636718750,0.3522131145000458,0.2822491228580475,0.2023177593946457,0.1260225474834442,0.0725063383579254;1.0003014802932739,1.0003409385681152,1.0003001689910889,1.0003720521926880,1.0005857944488525,1.0004320144653320,1.0002835988998413,1.0001180171966553;-0.5352569818496704,-0.5551450848579407,-0.5920199155807495,-0.6462396383285522,-0.7158311605453491,-0.7938545346260071,-0.8672513365745544,-0.9207205772399902;0.0000000042419082,-0.0000002874992902,-0.0000003388381629,0.0000000763622907,0.0000001225388360,-0.0000003335705969,-0.0000000863080203,-0.0000000407337382
57;722810ebcdc4219799512ce35d381e94;0.5351669788360596,0.5546590685844421,0.5907235741615295,0.6447000503540039,0.7141083478927612,0.7944511175155640,0.8711218833923340,0.9251230955123901;0.9999034404754639,0.9998123645782471,0.9998243451118469,0.9998563528060913,0.9999744892120361,0.9997516870498657,0.9996805787086487,0.9994416236877441;0.4662714004516602,0.4463249146938324,0.4106219112873077,0.3563042581081390,0.2849557399749756,0.2039416432380676,0.1274130493402481,0.0741458535194397;0.0000000042419082,-0.0000002874992902,-0.0000003388381629,0.0000000763622907,0.0000001225388360,-0.0000003335705969,-0.0000000863080203,-0.0000000407337382
58;92d55a1ea0cc01f1c16467d416a937f9;0.0327086448669434,0.1573602408170700,0.3085583746433258,0.4411043226718903,0.5397835969924927,0.6068914532661438,0.6494750380516052,0.6718022823333740;0.7524983882904053,0.7518497705459595,0.7518615722656250,0.7518228292465210,0.7512646913528442,0.7515673637390137,0.7516545653343201,0.7515329122543335;0.9691601395606995,0.8463838696479797,0.6930270195007324,0.5606151819229126,0.4619536697864532,0.3938392400741577,0.3507660329341888,0.3282048106193542;0.2474308758974075,0.2475606948137283,0.2474433481693268,0.2472771853208542,0.2474841177463531,0.2478012144565582,0.2478937357664108,0.2479109615087509
59;a10d98a28ca9db9366b473da2bf16297;0.9693295359611511,0.8948549032211304,0.7835462093353271,0.6593965291976929,0.5431356430053711,0.4467100501060486,0.3779699802398682,0.3388777375221252;0.9998366832733154,1.0000033378601074,0.9999324679374695,0.9997465610504150,0.9997942447662354,0.9997547864913940,0.9996514320373535,0.9998167753219604;-0.0290615074336529,-0.1044197231531143,-0.2169231027364731,-0.3419296443462372,-0.4591372013092041,-0.5554994344711304,-0.6247614026069641,-0.6644087433815002;0.0000000042419082,-0.0000002874992902,-0.0000003388381629,0.0000000763622907,0.0000001225388360,-0.0000003335705969,-0.0000000863080203,-0.0000000407337382
60;043616055292b7b76acaabf976759f08;0.0347371101379395,0.1085734069347382,0.2198129594326019,0.3435443639755249,0.4601931273937225,0.5571699142456055,0.6265562772750854,0.6653736233711243;0.9997500181198120,0.9999004602432251,0.9999631047248840,1.0000780820846558,0.9999910593032837,0.9998908042907715,0.9997605085372925,0.9995797872543335;0.9645745754241943,0.8898649811744690,0.7794783115386963,0.6550145149230957,0.5387389659881592,0.4430550634860992,0.3744963407516479,0.3356919884681702;0.0000000042419082,-0.0000002874992902,-0.0000003388381629,0.0000000763622907,0.0000001225388360,-0.0000003335705969,-0.0000000863080203,-0.0000000407337382
61;5ea66817f942ed3b8ab166bb9c3ba12f;0.7563022375106812,0.7110751867294312,0.6355779170989990,0.5395545959472656,0.4347434639930725,0.3351085484027863,0.2544847130775452,0.2052420228719711;0.9999467134475708,0.9999134540557861,0.9999700784683228,1.0000467300415039,1.0001292228698730,1.0001689195632935,1.0001019239425659,0.9999800920486450;-0.2474247515201569,-0.2916236221790314,-0.3660898804664612,-0.4622361063957214,-0.5678831934928894,-0.6689317822456360,-0.7509086132049561,-0.7986637949943542;0.0000000042419082,-0.0000002874992902,-0.0000003388381629,0.0000000763622907,0.0000001225388360,-0.0000003335705969,-0.0000000863080203,-0.0000000407337382
62;b91f7d4f3d6e90ca1169e596791c6dca;0.2452590912580490,0.2892338633537292,0.3629065155982971,0.4581127762794495,0.5628105401992798,0.6632735729217529,0.7452872991561890,0.7965145111083984;1.0000038146972656,1.0000295639038086,1.0000467300415039,1.0000653266906738,1.0000605583190918,1.0000096559524536,0.9999870657920837,0.9999364614486694;0.7496119737625122,0.7065436244010925,0.6346462368965149,0.5410542488098145,0.4372409284114838,0.3365563452243805,0.2537754774093628,0.2024351209402084;0.0000000042419082,-0.0000002874992902,-0.0000003388381629,0.0000000763622907,0.0000001225388360,-0.0000003335705969,-0.0000000863080203,-0.0000000407337382
63;f87f0151b2214ee42e60ecdd15d0bcb2;0.8314450979232788,0.8320513963699341,0.8327509760856628,0.8328220844268799,0.8330955505371094,0.8327456712722778,0.8326825499534607,0.8324849605560303;0.0357836782932281,0.1686108112335205,0.3344442248344421,0.4830216765403748,0.5962129235267639,0.6753824949264526,0.7257096767425537,0.7522675395011902;0.1665518134832382,0.1665017455816269,0.1666087955236435,0.1663367152214050,0.1661673188209534,0.1663171499967575,0.1666183918714523,0.1669885814189911;0.9624093174934387,0.8300530910491943,0.6646178960800171,0.5169910192489624,0.4036110937595367,0.3240166008472443,0.2728022336959839,0.2458496093750000
64;3eb646bd268db4de11afd95bf548ecaa;0.0842533111572266,0.0774565339088440,0.0661314427852631,0.0507633388042450,0.0352867543697357,0.0206013917922974,0.0093261003494263,0.0022258758544922;0.1628841310739517,0.1626996994018555,0.1624868214130402,0.1627624034881592,0.1633305996656418,0.1629673987627029,0.1624521017074585,0.1622620075941086;-0.9128810763359070,-0.9205003380775452,-0.9327793717384338,-0.9482572078704834,-0.9646174311637878,-0.9795539379119873,-0.9912933111190796,-0.9983897209167480;-0.8397033810615540,-0.8394645452499390,-0.8393576145172119,-0.8392967581748962,-0.8395999670028687,-0.8398552536964417,-0.8396800756454468,-0.8394739031791687
65;02eb47b05052e2c3d4daca8647b7d68e;0.0660785138607025,0.0668033361434937,0.0659990012645721,0.0655292272567749,0.0649677217006683,0.0638013184070587,0.0621901154518127,0.0616528391838074;0.0041291117668152,0.0082003474235535,0.0152662396430969,0.0226104259490967,0.0302066802978516,0.0383512079715729,0.0433467626571655,0.0469389557838440;0.9388538002967834,0.9394226074218750,0.9395225048065186,0.9394753575325012,0.9392293691635132,0.9389141201972961,0.9385531544685364,0.9382280111312866;0.9989962577819824,0.9950362443923950,0.9888211488723755,0.9809210896492004,0.9722619652748108,0.9639945626258850,0.9574246406555176,0.9534756541252136
66;66dc3f35dd08f2cd0316cdf1bcc43fa6;0.9999856352806091,0.9999092817306519,0.9999166727066040,0.9999647140502930,0.9999307394027710,0.9999321103096008,0.9998433589935303,0.9998414516448975;0.6554890871047974,0.6129001379013062,0.5489267110824585,0.4777522683143616,0.4107526242733002,0.3550499975681305,0.3148215413093567,0.2923588156700134;-0.0000000366274087,0.0000000212312088,0.0000000291974480,-0.0000001360496356,0.0000002064141142,-0.0000001408906343,-0.0000000482106586,0.0000000114453336;-0.3446590900421143,-0.3881210684776306,-0.4532456398010254,-0.5251855254173279,-0.5920882821083069,-0.6464858651161194,-0.6855397820472717,-0.7085178494453430
67;4c1cd81676520082469f5b61898429a0;1.0001482963562012,1.0000883340835571,1.0000046491622925,1.0000106096267700,1.0000211000442505,1.0000438690185547,1.0000021457672119,1.0000864267349243;0.3430059552192688,0.3860421478748322,0.4502649605274200,0.5220605731010437,0.5895645022392273,0.6452348232269287,0.6855372190475464,0.7079994678497314;-0.0000000366274087,0.0000000212312088,0.0000000291974480,-0.0000001360496356,0.0000002064141142,-0.0000001408906343,-0.0000000482106586,0.0000000114453336;0.6545870900154114,0.6120955348014832,0.5481907725334167,0.4778081476688385,0.4116460382938385,0.3566581606864929,0.3169887661933899,0.2948635220527649
68;3fcff45cdb5d88e46f5a3a13983bfb63;0.6798824071884155,0.6412723064422607,0.5727058053016663,0.4747051596641541,0.3527788817882538,0.2203246504068375,0.0996390581130981,0.0194782316684723;0.7003694772720337,0.7007049322128296,0.7011305093765259,0.7014528512954712,0.7006787061691284,0.7002974748611450,0.7011320590972900,0.7019472122192383;-0.3221630454063416,-0.3608093857765198,-0.4301957786083221,-0.5281383991241455,-0.6487854719161987,-0.7791402935981750,-0.8982062935829163,-0.9789977669715881;-0.3004092872142792,-0.3000362813472748,-0.2995775341987610,-0.2990984916687012,-0.2987776100635529,-0.2987088859081268,-0.2989109158515930,-0.2994101047515869
69;f250352716bf4bf8e724340fcd1a211f;0.4566209316253662,0.4340702295303345,0.3930753469467163,0.3327318727970123,0.2546727359294891,0.1648438721895218,0.0778368413448334,0.0162639319896698;0.6494531631469727,0.6492452025413513,0.6496690511703491,0.6501082181930542,0.6505348682403564,0.6504328250885010,0.6502130031585693,0.6494641304016113;-0.5444239974021912,-0.5668835043907166,-0.6079943776130676,-0.6679671406745911,-0.7455697655677795,-0.8349238038063049,-0.9222791194915771,-0.9841447472572327;-0.3510434329509735,-0.3511894643306732,-0.3513960540294647,-0.3515292406082153,-0.3516627848148346,-0.3516609370708466,-0.3514905571937561,-0.3513596057891846
70;efe0829aba793524eac68ab4716dd7a2;0.6009263396263123,0.5696674585342407,0.5142517685890198,0.4357305765151978,0.3402306139469147,0.2375330328941345,0.1450285762548447,0.0834040343761444;0.9998664855957031,1.0000571012496948,1.0000926256179810,1.0000500679016113,1.0000615119934082,1.0000232458114624,0.9999010562896729,0.9999368190765381;-0.3986029922962189,-0.4305755198001862,-0.4869369864463806,-0.5649310350418091,-0.6586185693740845,-0.7569928765296936,-0.8438845872879028,-0.9014029502868652;0.0000000042419082,-0.0000002874992902,-0.0000003388381629,0.0000000763622907,0.0000001225388360,-0.0000003335705969,-0.0000000863080203,-0.0000000407337382
71;8c47dd112252c6fa7a88de325de76a68;0.3987817168235779,0.4293085038661957,0.4850828349590302,0.5637593269348145,0.6599438190460205,0.7627089619636536,0.8541827797889709,0.9145578145980835;1.0000325441360474,0.9999788403511047,0.9999787211418152,0.9999032020568848,0.9999752044677734,1.0000123977661133,0.9999698400497437,0.9999587535858154;0.6036182641983032,0.5730456709861755,0.5173566937446594,0.4381031692028046,0.3412893414497375,0.2375523447990417,0.1441484540700912,0.0821270495653152;0.0000000042419082,-0.0000002874992902,-0.0000003388381629,0.0000000763622907,0.0000001225388360,-0.0000003335705969,-0.0000000863080203,-0.0000000407337382
72;b37889c15a1ebc760ffd20eef10fe098;0.3949194550514221,0.3735299408435822,0.3352223336696625,0.2798637151718140,0.2098801136016846,0.1328746676445007,0.0612058937549591,0.0122930705547333;0.6151859760284424,0.6150016188621521,0.6154226064682007,0.6157940626144409,0.6162216663360596,0.6161020994186401,0.6157509684562683,0.6150626540184021;-0.6033638715744019,-0.6247873902320862,-0.6636205911636353,-0.7191166877746582,-0.7887805104255676,-0.8658604621887207,-0.9379038810729980,-0.9874321222305298;-0.3824959397315979,-0.3827228844165802,-0.3830308914184570,-0.3832707405090332,-0.3835150897502899,-0.3835561871528625,-0.3833581209182739,-0.3830647170543671
73;2b8f9bdf4dcbc51156dd8bec51c89107;0.9432110190391541,0.9048209190368652,0.8454908132553101,0.7742787599563599,0.7033263444900513,0.6419249773025513,0.5962477922439575,0.5692554116249084;0.9999852180480957,1.0000329017639160,1.0000083446502686,1.0000358819961548,1.0000891685485840,0.9999306201934814,0.9998680353164673,0.9996803998947144;-0.0552979186177254,-0.0919084399938583,-0.1512623876333237,-0.2226601839065552,-0.2946566939353943,-0.3576199710369110,-0.4045374095439911,-0.4306548833847046;0.0000000042419082,-0.0000002874992902,-0.0000003388381629,0.0000000763622907,0.0000001225388360,-0.0000003335705969,-0.0000000863080203,-0.0000000407337382
74;b30d09cf8ecf90ca944eb552a0e247b7;0.0524688065052032,0.0918513238430023,0.1536711752414703,0.2262497693300247,0.2988645434379578,0.3624319434165955,0.4101120233535767,0.4375367462635040;0.9998452663421631,0.9999715089797974,0.9998638629913330,0.9999737739562988,0.9999504089355469,1.0000170469284058,1.0000276565551758,1.0000880956649780;0.9509356021881104,0.9082393646240234,0.8474821448326111,0.7757654190063477,0.7034489512443542,0.6390486359596252,0.5899480581283569,0.5610062479972839;0.0000000042419082,-0.0000002874992902,-0.0000003388381629,0.0000000763622907,0.0000001225388360,-0.0000003335705969,-0.0000000863080203,-0.0000000407337382
75;d59209aa52dc5f85f89cb91d2a0d09ad;0.6686192154884338,0.6531023979187012,0.6272759437561035,0.5950688719749451,0.5609998703002930,0.5297741293907166,0.5054473876953125,0.4909355640411377;1.0000345706939697,1.0000997781753540,1.0000591278076172,1.0000636577606201,0.9999954700469971,0.9999804496765137,0.9999856948852539,1.0000963211059570;-0.3308398723602295,-0.3466559946537018,-0.3730142414569855,-0.4058494269847870,-0.4399974644184113,-0.4705457389354706,-0.4935246109962463,-0.5067306160926819;0.0000000042419082,-0.0000002874992902,-0.0000003388381629,0.0000000763622907,0.0000001225388360,-0.0000003335705969,-0.0000000863080203,-0.0000000407337382
76;4241b712bf08fde7eef6dd8788ea8be0;0.3290099799633026,0.3456571400165558,0.3724671304225922,0.4052824676036835,0.4391340911388397,0.4696600139141083,0.4931413531303406,0.5074477791786194;1.0000698566436768,0.9999276399612427,1.0000536441802979,0.9999449253082275,0.9999406337738037,0.9999742507934570,0.9999421834945679,0.9999510049819946;0.6648810505867004,0.6497372388839722,0.6243439316749573,0.5928980112075806,0.5601025223731995,0.5299090743064880,0.5058922171592712,0.4916535317897797;0.0000000042419082,-0.0000002874992902,-0.0000003388381629,0.0000000763622907,0.0000001225388360,-0.0000003335705969,-0.0000000863080203,-0.0000000407337382
77;cbdec2d80700aca54a81954e6b6c0d78;0.3354578018188477,0.3352985382080078,0.3362644910812378,0.3364778161048889,0.3363191485404968,0.3360814750194550,0.3359279334545135,0.3364378809928894;0.0087758600711823,0.0417331457138062,0.0910030901432037,0.1483616977930069,0.2044956088066101,0.2522205114364624,0.2877482175827026,0.3060650229454041;0.6633450388908386,0.6631202697753906,0.6626229286193848,0.6627179980278015,0.6629370450973511,0.6629198193550110,0.6625595092773438,0.6622833013534546;0.9917601943016052,0.9596558213233948,0.9091854095458984,0.8503328561782837,0.7933893799781799,0.7457433938980103,0.7110843062400818,0.6914847493171692
