number;id;xscales;yscales;xcenter;ycenter
44;4c76c6cf13eb7b9956a657e8f737021d;0.9999470114707947,1.000054240226746,1.000031352043152,1.000099539756775,1.000010251998901,1.000055909156799,1.000155806541443,1.000140905380249;0.08606965839862823,0.1142029017210007,0.1652190089225769,0.2360342741012573,0.3229215443134308,0.4149877429008484,0.4972500801086426,0.5514643788337708;-3.662740866161585e-08,2.123120879105045e-08,2.919744801488378e-08,-1.360496355573559e-07,2.064141142454901e-07,-1.408906342703631e-07,-4.82106585764086e-08,1.144533356978172e-08;0.9144472479820251,0.8860403299331665,0.8338497281074524,0.7613475322723389,0.6744229793548584,0.5830164551734924,0.5020819306373596,0.4493615031242371
45;0333c0a570ca9f1991e19402f3694915;0.8967535495758057,0.8965564966201782,0.8964681625366211,0.8965475559234619,0.8963460922241211,0.8964371085166931,0.8964605927467346,0.896650493144989;0.02114991843700409,0.104403480887413,0.2303242236375809,0.3701396286487579,0.4999590516090393,0.6063227653503418,0.6814977526664734,0.7227386832237244;0.1003127321600914,0.1004062369465828,0.100700818002224,0.1007174849510193,0.1007488444447517,0.1009406670928001,0.1012058928608894,0.1015011295676231;0.9782705903053284,0.8952373862266541,0.768877387046814,0.6296031475067139,0.5004264712333679,0.3951906859874725,0.3199751973152161,0.2775826156139374
46;c9c7dd96d96975131667adc5f0bd2d26;0.9998429417610168,0.9998499751091003,0.9997624158859253,0.999833345413208,0.9998389482498169,0.9998522400856018,0.9998108148574829,0.9997501373291016;0.7499092221260071,0.7240375280380249,0.6770949959754944,0.6084232330322266,0.5214515924453735,0.4245559871196747,0.3347834050655365,0.2725887298583984;-3.662740866161585e-08,2.123120879105045e-08,2.919744801488378e-08,-1.360496355573559e-07,2.064141142454901e-07,-1.408906342703631e-07,-4.82106585764086e-08,1.144533356978172e-08;-0.2508368194103241,-0.2765685319900513,-0.3238889575004578,-0.3924289345741272,-0.4789318144321442,-0.5746299624443054,-0.6644446849822998,-0.7295419573783875
47;b50137aa85ff9cebed4f27b82f3a07d3;1.000216841697693,1.00016188621521,1.000023126602173,0.9999121427536011,0.9999896287918091,1.000059247016907,1.000166177749634,1.000207543373108;0.2504347860813141,0.2757028341293335,0.322538435459137,0.3910911679267883,0.4776243567466736,0.5740702748298645,0.664459764957428,0.7258357405662537;-3.662740866161585e-08,2.123120879105045e-08,2.919744801488378e-08,-1.360496355573559e-07,2.064141142454901e-07,-1.408906342703631e-07,-4.82106585764086e-08,1.144533356978172e-08;0.7515695095062256,0.7254107594490051,0.6782544255256653,0.6089940071105957,0.5211160182952881,0.423512727022171,0.3333585858345032,0.2725683152675629
48;3124aa9874a34a85e02806c753e10197;0.4851230084896088,0.4625309109687805,0.4198755919933319,0.3574153482913971,0.2754471898078918,0.1796755492687225,0.08527949452400208,0.01758597046136856;0.5453147888183594,0.545535147190094,0.5453442931175232,0.5453240275382996,0.5453795194625854,0.5457404851913452,0.5458418130874634,0.5460100769996643;-0.5159299969673157,-0.5388075709342957,-0.581104576587677,-0.6435428857803345,-0.7254417538642883,-0.8207436203956604,-0.9145854711532593,-0.9820295572280884;-0.4552069306373596,-0.4549659788608551,-0.4547643959522247,-0.4546420872211456,-0.4547169804573059,-0.4547574818134308,-0.4547911584377289,-0.4546923935413361
49;4515cd68e1685a674cb064a9c0db25be;0.005464892834424973,0.0296357050538063,0.06443864852190018,0.105098694562912,0.14557746052742,0.1803604811429977,0.2061652094125748,0.2197321802377701;0.3430503606796265,0.3438281416893005,0.3434414565563202,0.3426623344421387,0.3424214720726013,0.3424131870269775,0.3431608080863953,0.3427558541297913;0.9937587380409241,0.9709521532058716,0.9350020289421082,0.8932104706764221,0.8529479503631592,0.8191938400268555,0.7947567701339722,0.7807018756866455;0.6573426127433777,0.6574729681015015,0.6573889255523682,0.6574240922927856,0.6574251651763916,0.6573935151100159,0.6573292016983032,0.6571656465530396
50;c4bdbafa0bd0537d5545063ddc66fce6;0.9999828338623047,0.9998807311058044,0.9997988343238831,0.9999978542327881,1.000094890594482,1.000234127044678,1.000101923942566,1.000075340270996;0.9210970401763916,0.8927841782569885,0.8443533182144165,0.7807909846305847,0.7088508605957031,0.6380045413970947,0.5782899260520935,0.5415761470794678;-3.662740866161585e-08,2.123120879105045e-08,2.919744801488378e-08,-1.360496355573559e-07,2.064141142454901e-07,-1.408906342703631e-07,-4.82106585764086e-08,1.144533356978172e-08;-0.0761866420507431,-0.1052477806806564,-0.1550892293453217,-0.2192079871892929,-0.2900623977184296,-0.3590534627437592,-0.4166015684604645,-0.4535740911960602
51;f3b0a2f77790ea4243ffc97965eb7886;0.9999905228614807,0.999887228012085,0.9999766945838928,0.9999821186065674,0.999982476234436,0.9999238848686218,0.9999944567680359,0.9999271035194397;0.07563824951648712,0.1041617542505264,0.1536075323820114,0.218386635184288,0.2937023341655731,0.3672039210796356,0.4273983240127563,0.4642159938812256;-3.662740866161585e-08,2.123120879105045e-08,2.919744801488378e-08,-1.360496355573559e-07,2.064141142454901e-07,-1.408906342703631e-07,-4.82106585764086e-08,1.144533356978172e-08;0.9226157665252686,0.8956179022789001,0.846332848072052,0.7806507349014282,0.7066144347190857,0.6344457268714905,0.5750069618225098,0.5385785698890686
52;731f86245b060eb2f33a6d1ab288df7c;0.4058716297149658,0.4053365886211395,0.4038303196430206,0.4031804203987122,0.4033663868904114,0.4035271406173706,0.4038090407848358,0.4041835367679596;0.007847532629966736,0.04121186584234238,0.09172074496746063,0.1498460173606873,0.2047324180603027,0.2501374781131744,0.2840670049190521,0.3011772930622101;0.5947592258453369,0.594800591468811,0.5947058200836182,0.5950956344604492,0.5954487919807434,0.5954980850219727,0.5951687097549438,0.594904899597168;0.9911547899246216,0.9573004841804504,0.9060978889465332,0.8482966423034668,0.7934517860412598,0.7480423450469971,0.7152158617973328,0.6965603828430176
53;17bc027a657a24adc2720d3b5060bcb0;1.000093698501587,1.000078439712524,1.000069260597229,0.9999851584434509,0.9999239444732666,0.9999300241470337,0.9999493360519409,1.000013947486877;0.6033021211624146,0.5904063582420349,0.5687777400016785,0.5413058400154114,0.5113208889961243,0.4827700555324554,0.4591763019561768,0.4447052776813507;-3.662740866161585e-08,2.123120879105045e-08,2.919744801488378e-08,-1.360496355573559e-07,2.064141142454901e-07,-1.408906342703631e-07,-4.82106585764086e-08,1.144533356978172e-08;-0.3971809446811676,-0.4099876582622528,-0.4318693578243256,-0.4599778354167938,-0.4906246662139893,-0.5191412568092346,-0.5416082143783569,-0.5552709102630615
54;bc41a9d7ae8c93334716330a896fc71d;0.9999274611473083,0.9999064803123474,0.9999787211418152,0.9999397397041321,0.9999269843101501,0.9999464750289917,0.999947726726532,0.9999459385871887;0.3947238624095917,0.4069288074970245,0.4285332560539246,0.456948310136795,0.4879269599914551,0.5171362161636353,0.540672242641449,0.5552587509155273;-3.662740866161585e-08,2.123120879105045e-08,2.919744801488378e-08,-1.360496355573559e-07,2.064141142454901e-07,-1.408906342703631e-07,-4.82106585764086e-08,1.144533356978172e-08;0.6042355895042419,0.5928416848182678,0.5723066329956055,0.5442015528678894,0.5125507712364197,0.4821523427963257,0.4577297270298004,0.4427185654640198
55;0ff3b68ec2ae3ac476c09c32bda6ba35;0.8131806254386902,0.7593588829040527,0.6803743839263916,0.5947564244270325,0.5165331363677979,0.4534032642841339,0.4093168377876282,0.3847332000732422;1.00004243850708,1.000019431114197,1.000009775161743,1.000021576881409,1.000040650367737,0.9999505281448364,0.9999377131462097,0.9998023509979248;-0.1843154430389404,-0.2379133701324463,-0.3167426288127899,-0.4028002321720123,-0.482134610414505,-0.5457803010940552,-0.5896177291870117,-0.6144508123397827;4.241908158064689e-09,-2.87499290152482e-07,-3.388381628610659e-07,7.63622907129502e-08,1.225388359671342e-07,-3.335705969220726e-07,-8.630802028619655e-08,-4.073373816027015e-08
56;88c05c1d492fb317bf8a2e1984f14cf7;0.1875496804714203,0.2407482117414474,0.3195966780185699,0.4056912958621979,0.4844480454921722,0.5480083823204041,0.5927931070327759,0.6175679564476013;1.000054121017456,1.000102758407593,1.000054478645325,1.000010132789612,1.000024080276489,0.999962329864502,1.00000524520874,1.000017762184143;0.8125168085098267,0.7601211667060852,0.6807988286018372,0.5941691398620605,0.5147531032562256,0.45110684633255,0.4069176614284515,0.3825374245643616;4.241908158064689e-09,-2.87499290152482e-07,-3.388381628610659e-07,7.63622907129502e-08,1.225388359671342e-07,-3.335705969220726e-07,-8.630802028619655e-08,-4.073373816027015e-08
57;ddd48a2a79924b6986956ac59bdee1ad;0.4636392891407013,0.4433684945106506,0.4067077338695526,0.3522131145000458,0.282249242067337,0.2023178040981293,0.1260225623846054,0.07250639051198959;1.000301361083984,1.000340938568115,1.000300168991089,1.000372052192688,1.000585913658142,1.000432014465332,1.000283479690552,1.000117897987366;-0.53525710105896,-0.5551452040672302,-0.5920199751853943,-0.6462396383285522,-0.7158310413360596,-0.7938545346260071,-0.8672512769699097,-0.9207205772399902;4.241908158064689e-09,-2.87499290152482e-07,-3.388381628610659e-07,7.63622907129502e-08,1.225388359671342e-07,-3.335705969220726e-07,-8.630802028619655e-08,-4.073373816027015e-08
58;722810ebcdc4219799512ce35d381e94;0.5351669788360596,0.5546589493751526,0.5907235145568848,0.6446999907493591,0.714108407497406,0.7944511771202087,0.8711218237876892,0.9251229763031006;0.9999036192893982,0.9998123049736023,0.9998242855072021,0.9998562335968018,0.9999745488166809,0.9997518658638,0.9996806383132935,0.9994415640830994;0.4662714302539825,0.4463249444961548,0.4106218218803406,0.3563042879104614,0.2849557101726532,0.2039416581392288,0.1274130642414093,0.07414588332176208;4.241908158064689e-09,-2.87499290152482e-07,-3.388381628610659e-07,7.63622907129502e-08,1.225388359671342e-07,-3.335705969220726e-07,-8.630802028619655e-08,-4.073373816027015e-08
59;92d55a1ea0cc01f1c16467d416a937f9;0.03270862251520157,0.1573602557182312,0.3085584938526154,0.4411043524742126,0.5397835373878479,0.6068915128707886,0.6494750380516052,0.6718022227287292;0.7524983882904053,0.7518497705459595,0.7518616318702698,0.7518227696418762,0.7512648105621338,0.7515673637390137,0.7516545653343201,0.7515329718589783;0.9691601395606995,0.8463839292526245,0.6930269598960876,0.560615062713623,0.4619536101818085,0.3938392102718353,0.3507660031318665,0.3282047510147095;0.2474308162927628,0.2475606054067612,0.247443288564682,0.2472771257162094,0.2474840581417084,0.2478011548519135,0.2478936612606049,0.2479109317064285
60;a10d98a28ca9db9366b473da2bf16297;0.9693294763565063,0.8948548436164856,0.7835460901260376,0.6593964099884033,0.5431355237960815,0.4467099606990814,0.377969890832901,0.3388777673244476;0.9998366832733154,1.000003337860107,0.9999325275421143,0.9997464418411255,0.9997942447662354,0.999754786491394,0.999651312828064,0.9998168349266052;-0.02906147390604019,-0.1044197082519531,-0.2169231325387955,-0.3419297337532043,-0.4591372907161713,-0.5554994940757751,-0.6247614622116089,-0.664408802986145;4.241908158064689e-09,-2.87499290152482e-07,-3.388381628610659e-07,7.63622907129502e-08,1.225388359671342e-07,-3.335705969220726e-07,-8.630802028619655e-08,-4.073373816027015e-08
61;043616055292b7b76acaabf976759f08;0.03473709896206856,0.1085733771324158,0.2198130041360855,0.3435444235801697,0.4601931869983673,0.5571699142456055,0.6265563368797302,0.665373682975769;0.9997499585151672,0.9999004006385803,0.9999631643295288,1.000078082084656,0.9999910593032837,0.9998909831047058,0.9997605085372925,0.9995797872543335;0.9645745754241943,0.8898649215698242,0.7794782519340515,0.6550145149230957,0.538739025592804,0.4430550336837769,0.3744963109493256,0.335691899061203;4.241908158064689e-09,-2.87499290152482e-07,-3.388381628610659e-07,7.63622907129502e-08,1.225388359671342e-07,-3.335705969220726e-07,-8.630802028619655e-08,-4.073373816027015e-08
62;5ea66817f942ed3b8ab166bb9c3ba12f;0.7563020586967468,0.7110751867294312,0.6355777978897095,0.5395545363426208,0.4347434043884277,0.3351085782051086,0.2544846832752228,0.2052420675754547;0.9999465942382812,0.9999133944511414,0.9999699592590332,1.000046610832214,1.000129222869873,1.000168800354004,1.000101923942566,0.9999799132347107;-0.2474247962236404,-0.2916236519813538,-0.366089940071106,-0.4622361958026886,-0.5678832530975342,-0.6689317226409912,-0.7509087324142456,-0.7986637949943542;4.241908158064689e-09,-2.87499290152482e-07,-3.388381628610659e-07,7.63622907129502e-08,1.225388359671342e-07,-3.335705969220726e-07,-8.630802028619655e-08,-4.073373816027015e-08
63;b91f7d4f3d6e90ca1169e596791c6dca;0.2452591061592102,0.2892338633537292,0.3629065752029419,0.4581128358840942,0.5628105998039246,0.6632736325263977,0.7452872395515442,0.7965143918991089;1.000003814697266,1.000029444694519,1.000046730041504,1.000065565109253,1.000060439109802,1.000009655952454,0.9999870657920837,0.9999364614486694;0.7496120929718018,0.7065436840057373,0.6346462368965149,0.5410543084144592,0.4372409582138062,0.3365563750267029,0.2537755072116852,0.2024351209402084;4.241908158064689e-09,-2.87499290152482e-07,-3.388381628610659e-07,7.63622907129502e-08,1.225388359671342e-07,-3.335705969220726e-07,-8.630802028619655e-08,-4.073373816027015e-08
64;f87f0151b2214ee42e60ecdd15d0bcb2;0.8314452767372131,0.8320513963699341,0.8327510952949524,0.8328220248222351,0.8330955505371094,0.8327457308769226,0.8326825499534607,0.832485020160675;0.03578373044729233,0.1686108708381653,0.3344442546367645,0.4830216467380524,0.5962129235267639,0.6753823757171631,0.7257096171379089,0.7522675395011902;0.166551798582077,0.1665017157793045,0.1666087806224823,0.1663367003202438,0.1661673188209534,0.1663171201944351,0.1666183620691299,0.1669885516166687;0.9624093174934387,0.8300529718399048,0.6646178960800171,0.5169909596443176,0.4036110043525696,0.3240166008472443,0.2728022336959839,0.2458495795726776
65;3eb646bd268db4de11afd95bf548ecaa;0.08425326645374298,0.0774565264582634,0.06613140553236008,0.05076334998011589,0.03528672456741333,0.02060137689113617,0.009326092898845673,0.00222585815936327;0.1628841310739517,0.1626997143030167,0.1624868214130402,0.1627624034881592,0.163330614566803,0.1629674434661865,0.1624520868062973,0.1622620224952698;-0.912881076335907,-0.9205003380775452,-0.9327793717384338,-0.9482572674751282,-0.9646174311637878,-0.9795539379119873,-0.9912933111190796,-0.998389720916748;-0.839703381061554,-0.839464545249939,-0.8393576145172119,-0.8392966985702515,-0.8395999670028687,-0.8398551940917969,-0.8396800756454468,-0.8394738435745239
66;02eb47b05052e2c3d4daca8647b7d68e;0.06607840955257416,0.0668032318353653,0.06599894165992737,0.06552915275096893,0.06496764719486237,0.06380122900009155,0.06219001859426498,0.06165274232625961;0.004129085689783096,0.008200313895940781,0.01526616513729095,0.02261035516858101,0.03020654991269112,0.03835111111402512,0.04334667697548866,0.04693884402513504;0.9388538002967834,0.939422607421875,0.9395225644111633,0.9394753575325012,0.9392293691635132,0.9389141201972961,0.9385531544685364,0.9382280707359314;0.9989962577819824,0.9950363039970398,0.9888211488723755,0.9809210896492004,0.9722620248794556,0.9639946222305298,0.9574247002601624,0.9534756541252136
67;66dc3f35dd08f2cd0316cdf1bcc43fa6;0.9999856948852539,0.9999093413352966,0.999916672706604,0.9999648332595825,0.9999306797981262,0.9999321699142456,0.9998433589935303,0.9998415112495422;0.6554890871047974,0.6129001975059509,0.5489267110824585,0.4777522683143616,0.4107526540756226,0.3550500273704529,0.3148215115070343,0.2923588454723358;-3.662740866161585e-08,2.123120879105045e-08,2.919744801488378e-08,-1.360496355573559e-07,2.064141142454901e-07,-1.408906342703631e-07,-4.82106585764086e-08,1.144533356978172e-08;-0.3446590900421143,-0.388121098279953,-0.4532456696033478,-0.5251855254173279,-0.5920882821083069,-0.6464858651161194,-0.6855397820472717,-0.7085179090499878
68;4c1cd81676520082469f5b61898429a0;1.000148415565491,1.000088453292847,1.000004768371582,1.00001072883606,1.000020980834961,1.000043869018555,1.000002026557922,1.000086545944214;0.3430059552192688,0.386042058467865,0.45026496052742,0.5220605134963989,0.5895644426345825,0.6452348828315735,0.6855373382568359,0.7079994678497314;-3.662740866161585e-08,2.123120879105045e-08,2.919744801488378e-08,-1.360496355573559e-07,2.064141142454901e-07,-1.408906342703631e-07,-4.82106585764086e-08,1.144533356978172e-08;0.6545870900154114,0.6120955944061279,0.5481908321380615,0.4778081476688385,0.4116460680961609,0.3566581904888153,0.3169888556003571,0.2948635518550873
69;3fcff45cdb5d88e46f5a3a13983bfb63;0.6798825263977051,0.6412723660469055,0.5727058053016663,0.4747052192687988,0.3527788817882538,0.2203246504068375,0.09963904321193695,0.01947817578911781;0.7003694772720337,0.70070481300354,0.7011305689811707,0.7014528512954712,0.700678825378418,0.7002973556518555,0.70113205909729,0.7019472122192383;-0.3221630752086639,-0.3608094453811646,-0.4301958382129669,-0.5281385183334351,-0.6487855911254883,-0.7791402339935303,-0.8982062935829163,-0.9789978265762329;-0.3004092574119568,-0.3000362515449524,-0.299577534198761,-0.2990985214710236,-0.2987775802612305,-0.2987088561058044,-0.298910915851593,-0.2994101047515869
70;f250352716bf4bf8e724340fcd1a211f;0.4566209018230438,0.4340702295303345,0.3930753767490387,0.3327318429946899,0.2546727955341339,0.1648438721895218,0.07783683389425278,0.01626402698457241;0.6494531631469727,0.6492451429367065,0.6496689915657043,0.6501081585884094,0.6505348086357117,0.6504328846931458,0.6502130031585693,0.6494641304016113;-0.5444240570068359,-0.5668835639953613,-0.6079944372177124,-0.6679671406745911,-0.7455698251724243,-0.8349238038063049,-0.9222791790962219,-0.9841447472572327;-0.3510433733463287,-0.3511894941329956,-0.3513960838317871,-0.3515292108058929,-0.3516627550125122,-0.3516609370708466,-0.3514905571937561,-0.3513596057891846
71;efe0829aba793524eac68ab4716dd7a2;0.600926399230957,0.5696673989295959,0.5142517685890198,0.4357306361198425,0.3402306139469147,0.2375330924987793,0.1450286358594894,0.08340410888195038;0.9998664855957031,1.000056982040405,1.000092387199402,1.000049948692322,1.000061631202698,1.000023245811462,0.9999009370803833,0.9999368786811829;-0.3986029624938965,-0.4305755198001862,-0.4869368970394135,-0.5649310946464539,-0.6586185693740845,-0.7569928765296936,-0.8438845276832581,-0.90140300989151;4.241908158064689e-09,-2.87499290152482e-07,-3.388381628610659e-07,7.63622907129502e-08,1.225388359671342e-07,-3.335705969220726e-07,-8.630802028619655e-08,-4.073373816027015e-08
72;8c47dd112252c6fa7a88de325de76a68;0.3987817466259003,0.4293085336685181,0.4850828647613525,0.5637593269348145,0.6599439382553101,0.7627090215682983,0.8541826605796814,0.9145577549934387;1.000032544136047,0.9999788999557495,0.9999786019325256,0.9999032616615295,0.9999752640724182,1.000012397766113,0.9999698400497437,0.9999585747718811;0.6036180853843689,0.5730454921722412,0.5173565745353699,0.4381030797958374,0.3412892818450928,0.2375523298978806,0.1441484391689301,0.08212702721357346;4.241908158064689e-09,-2.87499290152482e-07,-3.388381628610659e-07,7.63622907129502e-08,1.225388359671342e-07,-3.335705969220726e-07,-8.630802028619655e-08,-4.073373816027015e-08
73;b37889c15a1ebc760ffd20eef10fe098;0.3949193954467773,0.3735299706459045,0.3352222740650177,0.279863715171814,0.2098800837993622,0.1328746974468231,0.06120594590902328,0.01229306310415268;0.6151859760284424,0.6150015592575073,0.6154226660728455,0.6157940030097961,0.6162216067314148,0.6161020398139954,0.6157509088516235,0.6150626540184021;-0.6033639907836914,-0.6247873902320862,-0.6636207103729248,-0.719116747379303,-0.7887805700302124,-0.8658604621887207,-0.937903881072998,-0.9874321222305298;-0.3824959397315979,-0.3827228844165802,-0.3830308616161346,-0.3832707107067108,-0.3835150599479675,-0.3835561871528625,-0.3833580911159515,-0.3830646574497223
74;2b8f9bdf4dcbc51156dd8bec51c89107;0.9432111382484436,0.90482097864151,0.8454907536506653,0.7742788791656494,0.703326404094696,0.6419248580932617,0.5962477326393127,0.569255530834198;0.9999850988388062,1.000032901763916,1.000008225440979,1.000036001205444,1.000089168548584,0.9999306201934814,0.9998679757118225,0.9996803998947144;-0.05529789254069328,-0.09190841019153595,-0.1512623429298401,-0.2226601541042328,-0.2946566641330719,-0.3576198518276215,-0.4045373797416687,-0.4306548237800598;4.241908158064689e-09,-2.87499290152482e-07,-3.388381628610659e-07,7.63622907129502e-08,1.225388359671342e-07,-3.335705969220726e-07,-8.630802028619655e-08,-4.073373816027015e-08
75;b30d09cf8ecf90ca944eb552a0e247b7;0.05246877670288086,0.09185124933719635,0.1536711156368256,0.2262497544288635,0.2988645136356354,0.3624319434165955,0.4101120233535767,0.4375367760658264;0.9998452663421631,0.9999715089797974,0.9998639225959778,0.9999737739562988,0.9999502897262573,1.000017046928406,1.000027656555176,1.000087976455688;0.9509356021881104,0.9082394242286682,0.8474822044372559,0.7757654786109924,0.7034489512443542,0.6390486359596252,0.5899480581283569,0.5610062479972839;4.241908158064689e-09,-2.87499290152482e-07,-3.388381628610659e-07,7.63622907129502e-08,1.225388359671342e-07,-3.335705969220726e-07,-8.630802028619655e-08,-4.073373816027015e-08
76;d59209aa52dc5f85f89cb91d2a0d09ad;0.6686192750930786,0.6531022787094116,0.6272760629653931,0.5950688719749451,0.560999870300293,0.5297741889953613,0.5054473280906677,0.4909356236457825;1.000034332275391,1.000099658966064,1.000059247016907,1.000063538551331,0.9999954700469971,0.9999804496765137,0.9999857544898987,1.000096201896667;-0.3308399021625519,-0.3466561138629913,-0.3730143010616302,-0.405849426984787,-0.4399975538253784,-0.470545768737793,-0.4935246706008911,-0.5067305564880371;4.241908158064689e-09,-2.87499290152482e-07,-3.388381628610659e-07,7.63622907129502e-08,1.225388359671342e-07,-3.335705969220726e-07,-8.630802028619655e-08,-4.073373816027015e-08
77;4241b712bf08fde7eef6dd8788ea8be0;0.3290099501609802,0.345657080411911,0.3724671304225922,0.4052824676036835,0.4391340613365173,0.4696600139141083,0.4931413233280182,0.5074477791786194;1.000069856643677,0.9999275803565979,1.000053405761719,0.9999448657035828,0.9999406337738037,0.9999741315841675,0.9999421834945679,0.9999510049819946;0.6648809909820557,0.6497372984886169,0.6243438720703125,0.5928979516029358,0.5601025223731995,0.529909074306488,0.5058920979499817,0.4916535019874573;4.241908158064689e-09,-2.87499290152482e-07,-3.388381628610659e-07,7.63622907129502e-08,1.225388359671342e-07,-3.335705969220726e-07,-8.630802028619655e-08,-4.073373816027015e-08
78;cbdec2d80700aca54a81954e6b6c0d78;0.3354578018188477,0.3352985978126526,0.3362645208835602,0.3364778161048889,0.3363191187381744,0.3360814452171326,0.3359279632568359,0.336437851190567;0.008775882422924042,0.04173313826322556,0.09100313484668732,0.1483617424964905,0.2044956535100937,0.25222048163414,0.2877483069896698,0.3060650527477264;0.6633450388908386,0.6631202101707458,0.6626229286193848,0.6627179384231567,0.6629371047019958,0.6629197597503662,0.662559449672699,0.6622832417488098;0.99176025390625,0.9596558213233948,0.9091854095458984,0.8503329157829285,0.7933893799781799,0.745743453502655,0.7110843062400818,0.691484808921814
